TIME 2024-02-05 16:29:51
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.02          2k       120.0         0.5         0.0
       1        1.04          1k       120.0         0.0         0.0
       2        1.00          0k        40.0         0.0         0.0
       3        1.03          5k       160.0         3.0         0.0
       4        3.34        857k       160.0         0.2         0.1
       5        0.27          2k        80.0         0.0         0.0
       6        0.23          0k       120.0         0.0         0.0
       7        0.23          0k        80.0         0.0         0.0
       8        0.19          0k         0.0         0.0         0.0
       9        0.23          0k       120.0         0.0         0.0
      10        0.96         11k       280.0         0.1         0.6
      11        0.10          0k         0.0         0.0         0.0
      12        0.09          0k         0.0         0.0         0.0
      13        0.23          0k         0.0         0.0         0.0
      14        0.27          1k        40.0         0.0         0.0
      15        0.18          0k         0.0         0.0         0.0
      16        0.20          0k         0.0         0.0         0.0
      17        0.22          0k         0.0         0.0         0.0
      18        0.23          0k         0.0         0.0         0.0
      19        0.23          0k         0.0         0.0         0.0
      20        0.31          0k         0.0         0.0         0.0
      21        0.27          0k         0.0         0.0         0.0
      22        0.38          0k         0.0         0.0         0.0
      23        0.32          0k         0.0         0.0         0.0
      24        0.24          0k         0.0         0.0         0.0
      25        0.19          0k        40.0         0.0         0.0
      26        0.31          0k        40.0         0.0         0.0
      27        0.31          0k        40.0         0.0         0.0
      28        0.27          0k         0.0         0.0         0.0
      29        0.30          0k        80.0         0.0         0.0
      30        0.12          0k         0.0         0.0         0.0
      31        0.29          0k         0.0         0.0         0.0
      32        0.33          0k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.26          0k         0.0         0.0         0.0
      35        0.27          0k         0.0         0.0         0.0
      36        0.25          0k         0.0         0.0         0.0
      37        0.25          0k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.26          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:52
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.04         50k       160.0        23.6         0.0
       1        1.05         35k       120.0         0.1         0.0
       2        1.00         13k        40.0         0.0         0.0
       3        1.03        176k       160.0       115.0         0.0
       4        3.39      21526k      1440.0        92.2         0.0
       5        0.27          1k        40.0         0.0         0.0
       6        0.18          0k       120.0         0.0         0.0
       7        0.12          0k        80.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.17          0k       120.0         0.0         0.0
      10        1.45         10k       840.0         0.3         0.7
      11        0.15          0k         0.0         0.0         0.0
      12        0.14          0k         0.0         0.0         0.0
      13        0.08          0k         0.0         0.0         0.0
      14        0.22         17k        40.0         0.0         0.0
      15        0.19          0k         0.0         0.0         0.0
      16        0.25          0k        40.0         0.0         0.0
      17        0.30          1k         0.0         0.0         0.0
      18        0.13          0k         0.0         0.0         0.0
      19        0.31          0k         0.0         0.0         0.0
      20        0.32          0k         0.0         0.0         0.0
      21        0.30          0k         0.0         0.0         0.0
      22        0.22          1k         0.0         0.0         0.0
      23        0.35          0k         0.0         0.0         0.0
      24        0.27          3k         0.0         0.0         0.0
      25        0.18          1k        40.0         0.0         0.0
      26        0.21          0k        40.0         0.0         0.0
      27        0.30          2k        80.0         0.0         0.0
      28        0.19          0k         0.0         0.0         0.0
      29        0.21          0k        80.0         0.0         0.0
      30        0.07          0k         0.0         0.0         0.0
      31        0.34          1k        40.0         0.0         0.0
      32        0.29          0k         0.0         0.0         0.0
      33        0.30          2k         0.0         0.0         0.0
      34        0.00         13k         0.0         0.0         0.0
      35        0.23          0k         0.0         0.0         0.0
      36        0.16          0k         0.0         0.0         0.0
      37        0.33          2k         0.0         0.0         0.0
      38        0.25          1k         0.0         0.0         0.0
      39        0.14          0k         0.0         0.0         0.0
TIME 2024-02-05 16:29:53
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        1.04         75k        40.0        51.1         0.1
       1        1.06         35k       120.0         0.2         0.0
       2        0.99         16k        40.0         0.1         0.0
       3        1.02        163k       160.0       108.7         0.0
       4        3.28      19271k      2000.0        71.5         0.0
       5        0.27          2k        80.0         0.1         0.0
       6        0.15          1k       120.0         0.0         0.0
       7        0.19          1k        80.0         0.0         0.0
       8        0.20          1k         0.0         0.1         0.0
       9        0.20          0k       120.0         0.0         0.0
      10        1.47          7k      1160.0         0.2         0.6
      11        0.17          0k         0.0         0.0         0.0
      12        0.15          0k         0.0         0.0         0.0
      13        0.12          0k         0.0         0.0         0.0
      14        0.22         16k        40.0         0.0         0.1
