TIME 2024-02-05 15:17:02
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97         18k       200.0         0.0         0.0
       1        1.00         18k       200.0         2.9         0.0
       2        0.95         15k        80.0         0.1         0.0
       3        0.98         18k       120.0         2.9         0.0
       4        3.33        802k       400.0        13.0         0.1
       5        0.24          1k         0.0         0.0         0.0
       6        0.23          0k         0.0         0.0         0.0
       7        0.23          0k         0.0         0.0         0.0
       8        0.20          0k         0.0         0.0         0.0
       9        0.24          0k        80.0         0.0         0.0
      10        0.97         12k       640.0         1.1         0.4
      11        0.10          0k        40.0         0.0         0.0
      12        0.08          0k         0.0         0.0         0.0
      13        0.17          0k         0.0         0.0         0.0
      14        0.25          1k         0.0         0.0         0.0
      15        0.17          0k        80.0         0.0         0.0
      16        0.15          0k         0.0         0.0         0.0
      17        0.21          0k       120.0         0.0         0.0
      18        0.21          0k         0.0         0.0         0.0
      19        0.52          0k        40.0         0.0         0.0
      20        0.33          0k        80.0         0.0         0.0
      21        0.30          0k        80.0         0.0         0.0
      22        0.36          0k         0.0         0.0         0.0
      23        0.31          0k        40.0         0.0         0.0
      24        0.23          0k        80.0         0.0         0.0
      25        0.23          0k        80.0         0.0         0.0
      26        0.28          0k        40.0         0.0         0.0
      27        0.27          0k        80.0         0.0         0.0
      28        0.31          0k        80.0         0.0         0.0
      29        0.30          0k       120.0         0.0         0.0
      30        0.09          0k         0.0         0.0         0.0
      31        0.22          0k        40.0         0.0         0.0
      32        0.23          1k         0.0         0.0         0.0
      33        0.25          0k         0.0         0.0         0.0
      34        0.16          0k        40.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.24          0k         0.0         0.0         0.0
      37        0.25          0k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.26          0k        40.0         0.0         0.0
TIME 2024-02-05 15:17:03
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        515k       200.0         3.9         0.0
       1        1.00        553k       360.0       125.0         0.1
       2        0.96        465k       120.0         1.6         0.0
       3        0.99        552k       160.0        94.1         0.0
       4        3.33      23213k       640.0       484.1         0.0
       5        0.23          2k        80.0         0.3         0.0
       6        0.17          0k         0.0         0.0         0.0
       7        0.13          0k         0.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.18          0k        80.0         0.0         0.0
      10        1.44         15k      1960.0         1.2         0.3
      11        0.10          0k        40.0         0.0         0.0
      12        0.03          1k         0.0         0.0         0.0
      13        0.26          2k         0.0         0.0         0.0
      14        0.23         19k       120.0         0.1         0.0
      15        1.13          8k       280.0         0.4         0.0
      16        0.15          0k        40.0         0.0         0.0
      17        0.32          1k       120.0         0.0         0.0
