TIME 2024-02-05 15:09:05
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.95         12k        40.0         0.1         0.0
       1        0.99         11k       160.0         0.5         0.0
       2        0.97         12k         0.0         1.1         0.0
       3        1.00         12k       160.0         0.4         0.0
       4        2.15        389k      1600.0        29.4         1.3
       5        0.22          1k         0.0         0.2         0.0
       6        0.23          0k       120.0         0.0         0.0
       7        0.20          0k         0.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.17          0k         0.0         0.0         0.0
      10        0.94         14k       840.0         0.9         0.4
      11        0.09          0k         0.0         0.0         0.0
      12        0.23          0k        40.0         0.0         0.0
      13        0.41          1k        40.0         0.1         0.0
      14        0.24          1k         0.0         0.0         0.0
      15        0.30          0k        40.0         0.0         0.0
      16        0.22          0k         0.0         0.0         0.0
      17        0.30          0k         0.0         0.0         0.0
      18        0.30          0k        40.0         0.0         0.0
      19        0.23          0k        40.0         0.0         0.0
      20        0.33          0k         0.0         0.0         0.0
      21        0.31          0k        40.0         0.0         0.0
      22        0.32          0k        40.0         0.0         0.0
      23        0.30          0k         0.0         0.0         0.0
      24        0.29          0k         0.0         0.0         0.0
      25        0.20          1k         0.0         0.0         0.0
      26        0.31          0k        40.0         0.0         0.0
      27        0.30          0k       120.0         0.0         0.0
      28        0.24          0k        40.0         0.0         0.0
      29        0.26          0k         0.0         0.0         0.0
      30        0.10          0k         0.0         0.0         0.0
      31        0.37          0k         0.0         0.0         0.0
      32        0.22          0k         0.0         0.0         0.0
      33        0.28          1k         0.0         0.0         0.0
      34        0.12          0k         0.0         0.0         0.0
      35        0.16          0k         0.0         0.0         0.0
      36        0.26          0k         0.0         0.0         0.0
      37        0.25          0k        40.0         0.0         0.0
      38        0.22          0k         0.0         0.0         0.0
      39        0.24          0k        40.0         0.0         0.0
TIME 2024-02-05 15:09:06
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        486k       120.0         1.2         0.0
       1        0.99        497k       160.0        17.1         0.0
       2        0.96        481k         0.0        49.1         0.1
       3        0.99        475k       240.0        11.5         0.0
       4        3.37      21828k      1600.0       471.2         0.4
       5        0.23          7k        40.0         0.3         0.0
       6        0.14          0k       120.0         0.0         0.0
       7        0.08          1k         0.0         0.0         0.0
       8        0.18          0k         0.0         0.0         0.0
       9        0.14          0k         0.0         0.0         0.0
      10        1.41         79k      5080.0         5.7         2.5
      11        0.23          1k         0.0         0.0         0.0
      12        0.19          0k        40.0         0.0         0.0
      13        0.41          1k       160.0         0.1         0.0
      14        0.22         17k       120.0         0.2         0.1
      15        0.22          3k       120.0         0.1         0.0
      16        0.13          0k         0.0         0.0         0.0
      17        0.32          1k         0.0         0.0         0.0
      18        0.30          0k        80.0         0.0         0.0
      19        0.17          0k         0.0         0.0         0.0
      20        0.29          0k         0.0         0.0         0.1
      21        0.18          1k        40.0         0.0         0.0
      22        0.31          1k        80.0         0.0         0.0
      23        0.27          0k         0.0         0.0         0.0
      24        0.22          1k         0.0         0.0         0.0
      25        0.33          6k         0.0         0.2         0.2
      26        0.41          1k        40.0         0.0         0.0
      27        0.38          6k       120.0         0.0         0.3
      28        0.25          0k        40.0         0.0         0.0
      29        0.49          1k         0.0         0.0         0.0
      30        0.02          1k         0.0         0.0         0.0
      31        0.34          1k       120.0         0.1         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.30          1k         0.0         0.0         0.0
      34        0.02          9k         0.0         0.0         0.0
      35        0.17          4k       240.0         0.2         0.0
      36        0.19          0k         0.0         0.0         0.0
      37        0.06          1k        40.0         0.0         0.0
      38        0.21          1k         0.0         0.0         0.0
      39        0.18          0k        40.0         0.0         0.0
TIME 2024-02-05 15:09:07
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.97        465k       240.0         2.7         0.2
       1        0.99        494k       160.0         1.7         0.0
       2        0.96        421k        40.0         9.0         0.0
       3        0.99        422k       240.0         0.9         0.0
       4        3.26      20190k      1520.0       132.0         0.0
       5        0.23          7k        40.0         0.4         0.0
       6        0.12          0k       120.0         0.0         0.0
       7        0.10          0k         0.0         0.0         0.0
       8        0.17          0k         0.0         0.0         0.0
       9        0.12          0k         0.0         0.0         0.0
      10        1.45         40k      4960.0         2.4         0.9
      11        0.14          0k         0.0         0.0         0.0
      12        0.16          0k        40.0         0.0         0.0
      13        0.41          1k       160.0         0.1         0.0
      14        0.23         17k       120.0         0.0         0.0
      15        0.96          5k      1280.0         1.0         0.4
