TIME 2024-02-05 15:11:17
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.96          7k        40.0         0.4         0.0
       1        0.99          6k       160.0         0.9         0.0
       2        0.96          6k        40.0         0.0         0.0
       3        0.99          6k       240.0         0.0         0.0
       4        1.78         36k      2280.0         8.4         0.7
       5        0.24          1k        40.0         0.1         0.0
       6        0.23          0k        40.0         0.0         0.0
       7        0.20          0k        80.0         0.0         0.0
       8        0.23          0k         0.0         0.0         0.0
       9        0.19          0k         0.0         0.0         0.0
      10        0.94         12k       720.0         0.4         0.4
      11        0.13          0k         0.0         0.0         0.0
      12        0.23          0k         0.0         0.0         0.0
      13        0.28          0k         0.0         0.0         0.0
      14        0.53          2k       240.0         0.1         0.1
      15        0.23          0k        80.0         0.0         0.0
      16        0.20          0k        40.0         0.0         0.0
      17        0.30          0k         0.0         0.0         0.0
      18        0.22          0k         0.0         0.0         0.0
      19        0.21          0k         0.0         0.0         0.0
      20        0.24          0k        80.0         0.0         0.0
      21        0.28          0k         0.0         0.0         0.0
      22        0.28          0k        40.0         0.0         0.0
      23        0.28          0k         0.0         0.0         0.0
      24        0.27          1k        40.0         0.0         0.0
      25        0.22          1k        40.0         0.0         0.0
      26        0.26          0k         0.0         0.0         0.0
      27        0.31          1k        80.0         0.0         0.0
      28        0.27          0k         0.0         0.0         0.0
      29        0.23          0k        40.0         0.0         0.0
      30        0.11          0k         0.0         0.0         0.0
      31        0.35          0k        40.0         0.0         0.0
      32        0.25          0k         0.0         0.0         0.0
      33        0.24          0k         0.0         0.0         0.0
      34        0.19          0k        40.0         0.0         0.0
      35        0.24          0k         0.0         0.0         0.0
      36        0.25          0k         0.0         0.0         0.0
      37        0.25          0k         0.0         0.0         0.0
      38        0.25          0k         0.0         0.0         0.0
      39        0.24          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:18
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        158k       200.0         0.9         0.1
       1        1.00        146k       240.0        10.3         0.0
       2        0.97        132k        40.0         1.4         0.0
       3        1.00        136k       240.0         0.7         0.0
       4        3.36      21762k      1880.0       231.4         0.1
       5        0.28          4k        40.0         0.0         0.0
       6        0.15          0k         0.0         0.1         0.0
       7        0.08          1k        80.0         0.0         0.0
       8        0.21          0k         0.0         0.0         0.0
       9        0.12          0k         0.0         0.0         0.0
      10        1.43         89k      4440.0         4.7         2.4
      11        0.13          0k         0.0         0.0         0.0
      12        0.17          0k         0.0         0.0         0.0
      13        0.33          2k         0.0         0.0         0.0
      14        0.24         20k       120.0         0.2         0.0
      15        0.22          0k        80.0         0.0         0.0
      16        0.15          0k        40.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.29          1k        80.0         0.2         0.0
      19        0.15          0k         0.0         0.0         0.0
      20        0.30          0k        80.0         0.0         0.0
      21        0.21          1k         0.0         0.0         0.0
      22        0.34          0k        40.0         0.0         0.0
      23        0.27          0k         0.0         0.0         0.0
      24        0.31          5k       240.0         0.4         0.2
      25        0.07          1k        40.0         0.0         0.0
      26        0.24          1k         0.0         0.0         0.0
      27        0.36          6k       200.0         0.0         0.2
      28        0.21          0k         0.0         0.0         0.0
      29        0.44          2k       120.0         0.0         0.1
      30        0.03          2k         0.0         0.0         0.0
      31        0.35          1k         0.0         0.0         0.0
      32        0.18          0k         0.0         0.0         0.0
      33        0.29          1k         0.0         0.0         0.0
      34        0.02          9k        40.0         0.0         0.0
      35        0.16          1k         0.0         0.0         0.0
      36        0.18          0k         0.0         0.0         0.0
      37        0.06          1k         0.0         0.0         0.0
      38        0.21          1k        40.0         0.0         0.0
      39        0.18          0k         0.0         0.0         0.0
TIME 2024-02-05 15:11:19
    CORE         IPC      MISSES     LLC[KB]   MBL[MB/s]   MBR[MB/s]
       0        0.98        154k       160.0         1.8         0.1
       1        1.00        148k       320.0         2.4         0.0
       2        0.97        132k       120.0         1.2         0.0
       3        1.00        136k       280.0        15.1         0.0
       4        3.27      18673k      2040.0        32.0         0.0
       5        0.26          2k        80.0         0.0         0.0
       6        0.17          0k         0.0         0.1         0.0
       7        0.06          1k        80.0         0.0         0.0
       8        0.20          0k         0.0         0.0         0.0
       9        0.17          0k         0.0         0.0         0.0
      10        1.50          8k      4560.0         0.2         0.2
      11        0.15          0k         0.0         0.0         0.0
      12        0.19          0k         0.0         0.0         0.0
      13        0.38          0k         0.0         0.0         0.0
      14        0.23         17k       120.0         0.0         0.0
      15        0.21          0k        80.0         0.0         0.0
      16        0.15          0k        40.0         0.0         0.0
      17        0.31          1k         0.0         0.0         0.0
      18        0.26          0k        80.0         0.0         0.0
      19        0.15          0k         0.0         0.0         0.0
      20        0.25          0k        80.0         0.0         0.0
      21        0.18          1k         0.0         0.0         0.0
      22        0.32          0k        40.0         0.0         0.0
      23        0.25          0k         0.0         0.4         0.0
      24        0.23          0k       240.0         0.0         0.0
      25        0.19          1k        40.0         0.0         0.0
      26        0.39          1k         0.0         0.0         0.0
      27        0.38          4k        80.0         0.0         0.2
      28        0.19          0k         0.0         0.0         0.0
      29        0.22          1k       120.0         0.0         0.0
      30        0.03          1k         0.0         0.0         0.0
      31        0.43          0k         0.0         0.0         0.0
