,ndpi_stats-pcm_new_System-Date,ndpi_stats-pcm_new_System-Time,ndpi_stats-pcm_new_Socket 0-EXEC,ndpi_stats-pcm_new_Socket 0-IPC,ndpi_stats-pcm_new_Socket 0-FREQ,ndpi_stats-pcm_new_Socket 0-AFREQ,ndpi_stats-pcm_new_Socket 0-L3MISS,ndpi_stats-pcm_new_Socket 0-L2MISS,ndpi_stats-pcm_new_Socket 0-L3HIT,ndpi_stats-pcm_new_Socket 0-L2HIT,ndpi_stats-pcm_new_Socket 0-L3MPI,ndpi_stats-pcm_new_Socket 0-L2MPI,ndpi_stats-pcm_new_Socket 0-L3OCC,ndpi_stats-pcm_new_Socket 0-LMB,ndpi_stats-pcm_new_Socket 0-RMB,ndpi_stats-pcm_new_Socket 0-READ,ndpi_stats-pcm_new_Socket 0-WRITE,ndpi_stats-pcm_new_Socket 0-LOCAL,ndpi_stats-pcm_new_Socket 0-TEMP,ndpi_stats-pcm_new_Socket 0-INST,ndpi_stats-pcm_new_Socket 0-ACYC,ndpi_stats-pcm_new_Socket 0-TIME(ticks),ndpi_stats-pcm_new_Socket 0-PhysIPC,ndpi_stats-pcm_new_Socket 0-PhysIPC%,ndpi_stats-pcm_new_Socket 0-INSTnom,ndpi_stats-pcm_new_Socket 0-INSTnom%,ndpi_stats-pcm_new_SKT0 Core C-State-C0res%,ndpi_stats-pcm_new_SKT0 Core C-State-C1res%,ndpi_stats-pcm_new_SKT0 Core C-State-C3res%,ndpi_stats-pcm_new_SKT0 Core C-State-C6res%,ndpi_stats-pcm_new_SKT0 Core C-State-C7res%,ndpi_stats-pcm_new_SKT0 Package C-State-C0res%,ndpi_stats-pcm_new_SKT0 Package C-State-C2res%,ndpi_stats-pcm_new_SKT0 Package C-State-C3res%,ndpi_stats-pcm_new_SKT0 Package C-State-C6res%,ndpi_stats-pcm_new_SKT0 Package C-State-C7res%,ndpi_stats-pcm_new_Proc Energy (Joules)-SKT0,ndpi_stats-pcm_new_DRAM Energy (Joules)-SKT0,ndpi_stats-pcm_new_LLCRDMISSLAT (ns)-SKT0,ndpi_stats-pcm_new_UncFREQ (Ghz)-SKT0,ndpi_stats-pcm_new_Core3 (Socket 0)-EXEC,ndpi_stats-pcm_new_Core3 (Socket 0)-IPC,ndpi_stats-pcm_new_Core3 (Socket 0)-FREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-AFREQ,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MISS,ndpi_stats-pcm_new_Core3 (Socket 0)-L3HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L2HIT,ndpi_stats-pcm_new_Core3 (Socket 0)-L3MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L2MPI,ndpi_stats-pcm_new_Core3 (Socket 0)-L3OCC,ndpi_stats-pcm_new_Core3 (Socket 0)-LMB,ndpi_stats-pcm_new_Core3 (Socket 0)-RMB,ndpi_stats-pcm_new_Core3 (Socket 0)-C0res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C1res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C3res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C6res%,ndpi_stats-pcm_new_Core3 (Socket 0)-C7res%,ndpi_stats-pcm_new_Core3 (Socket 0)-TEMP,ndpi_stats-pcm_new_Core3 (Socket 0)-INST,ndpi_stats-pcm_new_Core3 (Socket 0)-ACYC,ndpi_stats-pcm_new_Core3 (Socket 0)-TIME(ticks),ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC,ndpi_stats-pcm_new_Core3 (Socket 0)-PhysIPC%,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom,ndpi_stats-pcm_new_Core3 (Socket 0)-INSTnom%,ndpi_stats-pcm_new_-,pcm-pcie_new_skt-0_PCIRdCur,pcm-pcie_new_skt-0_RFO,pcm-pcie_new_skt-0_CRd,pcm-pcie_new_skt-0_DRd,pcm-pcie_new_skt-0_ItoM,pcm-pcie_new_skt-0_PRd,pcm-pcie_new_skt-0_WiL,pcm-pcie_new_skt-1_PCIRdCur,pcm-pcie_new_skt-1_RFO,pcm-pcie_new_skt-1_CRd,pcm-pcie_new_skt-1_DRd,pcm-pcie_new_skt-1_ItoM,pcm-pcie_new_skt-1_PRd,pcm-pcie_new_skt-1_WiL,pcm-memory_new_SKT0-Ch0Read,pcm-memory_new_SKT0-Ch0Write,pcm-memory_new_SKT0-Ch1Read,pcm-memory_new_SKT0-Ch1Write,pcm-memory_new_SKT0-Ch2Read,pcm-memory_new_SKT0-Ch2Write,pcm-memory_new_SKT0-Ch3Read,pcm-memory_new_SKT0-Ch3Write,pcm-memory_new_SKT0-Mem Read (MB/s),pcm-memory_new_SKT0-Mem Write (MB/s),pcm-memory_new_SKT0-P. Write (T/s),pcm-memory_new_SKT0-Memory (MB/s),pcm-memory_new_System-Read,pcm-memory_new_System-Write,pcm-memory_new_System-Memory
0,2023-11-28,14:42:43.587,0.32,1.6,0.2,1.31,36.4,54.93,0.34,0.37,0.0024,0.0036,3320.0,2.0,0.0,2.52,1.05,100.0,54.0,15271.73,9560.18,2402.16,3.19,79.87,0.64,15.9,15.24,17.05,0.01,67.69,0.0,100.0,0.0,0.0,0.0,0.0,38.3,8.82,549332.49,2.7,1.16,0.88,1.31,1.32,19.83,22.4,0.11,0.11,0.0071,0.0081,0.0,0.0,0.0,98.86,1.14,0.0,0.0,0.0,57.0,2774.36,3144.17,2402.16,1.76,44.12,2.31,57.76,,7270704.0,5428570.0,4926642.0,59619490.0,992040.0,0.0,299530.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,622.75,258.96,640.02,264.36,580.46,256.37,697.64,276.37,2540.87,1056.07,125926.0,3596.93,2540.87,1056.07,3596.93
1,2023-11-28,14:42:44.587,0.32,1.6,0.2,1.31,36.31,54.9,0.34,0.37,0.0024,0.0036,3560.0,0.0,0.0,2.53,1.05,100.0,55.0,15226.33,9530.41,2400.26,3.2,79.88,0.63,15.86,15.2,17.02,0.03,67.75,0.0,100.0,0.0,0.0,0.0,0.0,38.19,8.81,0.26,2.7,1.16,0.88,1.31,1.32,19.81,22.44,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.87,1.13,0.0,0.0,0.0,56.0,2781.59,3143.6,2400.26,1.77,44.24,2.32,57.94,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7449498.0,5451012.0,4944324.0,59681412.0,1012452.0,0.0,299894.0,620.74,257.65,637.38,262.9,578.5,255.23,694.93,274.97,2531.54,1050.74,125736.0,3582.29,2531.54,1050.74,3582.29
2,2023-11-28,14:42:45.587,0.32,1.6,0.2,1.31,36.31,54.88,0.34,0.37,0.0024,0.0036,4080.0,0.0,0.0,2.53,1.05,100.0,55.0,15216.79,9519.65,2400.12,3.2,79.92,0.63,15.85,15.17,17.14,0.03,67.66,0.0,100.0,0.0,0.0,0.0,0.0,38.17,8.8,0.37,2.7,1.16,0.88,1.31,1.32,19.8,22.43,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.87,1.13,0.0,0.0,0.0,57.0,2779.84,3142.44,2400.12,1.77,44.23,2.32,57.91,,7453264.0,5438188.0,5020988.0,59692584.0,1003380.0,0.0,298214.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,621.49,257.73,637.34,262.88,578.94,255.37,695.07,275.27,2532.85,1051.25,125866.0,3584.09,2532.85,1051.25,3584.09
3,2023-11-28,14:42:46.587,0.32,1.6,0.2,1.31,36.32,54.88,0.34,0.37,0.0024,0.0036,4400.0,0.0,0.0,2.53,1.05,100.0,55.0,15241.43,9531.51,2400.19,3.2,79.95,0.64,15.88,15.18,16.8,0.01,68.01,0.0,100.0,0.0,0.0,0.0,0.0,38.23,8.8,0.33,2.7,1.16,0.88,1.31,1.33,19.81,22.44,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.91,1.09,0.0,0.0,0.0,57.0,2780.41,3146.71,2400.19,1.77,44.18,2.32,57.92,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7505904.0,5484724.0,5078332.0,59721354.0,1006866.0,0.0,299446.0,621.4,257.71,637.6,263.38,578.44,255.18,694.99,275.23,2532.43,1051.5,125746.0,3583.93,2532.43,1051.5,3583.93
4,2023-11-28,14:42:47.587,0.32,1.6,0.2,1.31,36.46,54.97,0.34,0.37,0.0024,0.0036,4760.0,1.0,0.0,2.55,1.06,100.0,54.0,15248.62,9533.79,2400.2,3.2,79.97,0.64,15.88,15.17,16.73,0.02,68.08,0.0,100.0,0.0,0.0,0.0,0.0,38.3,8.85,0.33,2.7,1.16,0.88,1.31,1.33,19.82,22.44,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.91,1.09,0.0,0.0,0.0,57.0,2781.31,3147.72,2400.2,1.77,44.18,2.32,57.94,,7450184.0,5446308.0,5119604.0,59768632.0,1010030.0,0.0,298760.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,625.51,259.53,641.36,264.84,582.33,256.76,699.69,277.1,2548.89,1058.23,125767.0,3607.11,2548.89,1058.23,3607.11
5,2023-11-28,14:42:48.589,0.32,1.6,0.2,1.31,36.44,55.0,0.34,0.37,0.0024,0.0036,5200.0,3.0,0.0,2.54,1.06,100.0,54.0,15247.27,9536.15,2402.58,3.2,79.94,0.63,15.87,15.19,17.03,0.03,67.76,0.0,100.0,0.0,0.0,0.0,0.0,38.26,8.8,0.37,2.7,1.16,0.88,1.31,1.32,19.84,22.46,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.86,1.14,0.0,0.0,0.0,57.0,2781.03,3146.37,2402.58,1.77,44.19,2.32,57.88,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7452914.0,5347972.0,5125820.0,59562076.0,1019214.0,0.0,298774.0,622.76,258.4,640.37,265.81,579.64,255.58,699.01,276.14,2541.78,1055.92,125856.0,3597.7,2541.78,1055.92,3597.7
6,2023-11-28,14:42:49.589,0.32,1.6,0.2,1.31,36.39,54.95,0.34,0.36,0.0024,0.0036,5920.0,0.0,0.0,2.54,1.05,100.0,54.0,15237.84,9525.99,2400.01,3.2,79.98,0.63,15.87,15.18,16.89,0.04,67.9,0.0,100.0,0.0,0.0,0.0,0.0,38.23,8.77,0.37,2.7,1.16,0.88,1.31,1.33,19.84,22.47,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.86,1.14,0.0,0.0,0.0,57.0,2779.42,3144.14,2400.01,1.77,44.2,2.32,57.9,,7428736.0,5386038.0,5117616.0,59695230.0,1010716.0,0.0,297500.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,619.97,257.4,640.55,267.79,577.51,254.4,698.32,275.08,2536.36,1054.67,125772.0,3591.03,2536.36,1054.67,3591.03
7,2023-11-28,14:42:50.589,0.32,1.6,0.2,1.31,36.4,54.97,0.34,0.36,0.0024,0.0036,6400.0,0.0,0.0,2.54,1.06,100.0,54.0,15247.88,9529.52,2400.01,3.2,80.0,0.64,15.88,15.17,16.83,0.01,67.99,0.0,100.0,0.0,0.0,0.0,0.0,38.22,8.78,0.33,2.7,1.16,0.88,1.31,1.33,19.85,22.48,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.9,1.1,0.0,0.0,0.0,57.0,2779.88,3146.04,2400.01,1.77,44.18,2.32,57.91,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7410270.0,5420800.0,5035772.0,59568488.0,1025094.0,168.0,297710.0,620.25,257.57,640.23,267.62,576.54,254.2,698.58,275.1,2535.61,1054.49,125791.0,3590.1,2535.61,1054.49,3590.1
8,2023-11-28,14:42:51.589,0.32,1.6,0.2,1.3,36.19,54.81,0.34,0.36,0.0024,0.0036,7960.0,4.0,0.0,2.52,1.05,100.0,54.0,15212.12,9512.5,2400.08,3.2,79.96,0.63,15.85,15.23,17.44,0.03,67.3,0.0,100.0,0.0,0.0,0.0,0.0,38.16,8.81,0.37,2.7,1.15,0.88,1.31,1.32,19.77,22.39,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.67,1.33,0.0,0.0,0.0,56.0,2770.89,3132.67,2400.08,1.77,44.23,2.31,57.72,,7434084.0,5410454.0,5119492.0,59770172.0,1023414.0,0.0,298158.0,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,616.66,256.08,636.41,266.34,572.83,253.05,693.52,273.54,2519.43,1049.01,125906.0,3568.43,2519.43,1049.01,3568.43
9,2023-11-28,14:42:52.589,0.32,1.6,0.2,1.3,36.23,54.76,0.34,0.36,0.0024,0.0036,8000.0,0.0,0.0,2.52,1.05,100.0,54.0,15188.97,9500.78,2400.14,3.2,79.94,0.63,15.82,15.18,17.23,0.01,67.58,0.0,100.0,0.0,0.0,0.0,0.0,38.18,8.8,0.33,2.7,1.15,0.88,1.31,1.32,19.77,22.38,0.12,0.11,0.0071,0.0081,0.0,0.0,0.0,98.61,1.39,0.0,0.0,0.0,56.0,2769.61,3133.25,2400.14,1.77,44.2,2.31,57.7,,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7439992.0,5418070.0,5090232.0,59635506.0,1028244.0,0.0,298074.0,617.44,256.23,637.8,266.86,573.28,253.2,695.16,273.86,2523.66,1050.15,125763.0,3573.82,2523.66,1050.15,3573.82
